rec_time	UTC	Dikablis Professional Wireless  (DGW18129)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18129)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:01.976	1644609577482	1288.778	524.183
00:00:01.993	1644609577499	1289.308	532.182
00:00:02.010	1644609577516	1289.238	518.967
00:00:02.026	1644609577532	1283.734	530.429
00:00:02.043	1644609577549	1264.621	527.69
00:00:02.060	1644609577566	1262.927	534.575
00:00:02.076	1644609577582	1265.55	526.413
00:00:02.093	1644609577599	1264.452	523.171
00:00:02.110	1644609577616	1266.855	526.22
00:00:02.126	1644609577632	1268.124	534.473
00:00:02.143	1644609577649	1268.255	524.548
00:00:02.160	1644609577666	1268.386	520.886
00:00:02.176	1644609577682	1266.875	513.347
00:00:02.193	1644609577699	1269.388	530.426
00:00:02.210	1644609577716	1269.289	510.958
00:00:02.226	1644609577732	1271.271	522.388
00:00:02.243	1644609577749	1273.726	506.561
00:00:02.260	1644609577766	1271.061	517.936
00:00:02.276	1644609577782	1274.616	506.338
00:00:02.293	1644609577799	1277.026	516.658
00:00:02.310	1644609577816	1278.179	514.961
00:00:02.326	1644609577832	1276.013	512.381
00:00:02.343	1644609577849	1278.702	501.95
00:00:02.360	1644609577866	1277.089	510.528
00:00:02.376	1644609577882	1275.159	499.871
00:00:02.393	1644609577899	1271.912	510.336
00:00:02.410	1644609577916	1273.389	495.264
00:00:02.426	1644609577932	1270.103	505.872
00:00:02.443	1644609577949	1268.89	495.505
00:00:02.460	1644609577966	1268.259	508.151
00:00:02.476	1644609577982	1270.434	495.7
00:00:02.493	1644609577999	1264.424	508.511
00:00:02.510	1644609578016	1268.107	497.63
00:00:02.526	1644609578032	1264.742	507.3
00:00:02.543	1644609578049	1266.01	503.603
00:00:02.560	1644609578066	1267.739	512.467
00:00:02.576	1644609578082	1266.932	504.328
00:00:02.593	1644609578099	1266.655	508.321
00:00:02.610	1644609578116	1262.137	505.968
00:00:02.626	1644609578132	1267.907	515.799
00:00:02.643	1644609578149	1264.273	505.617
00:00:02.660	1644609578166	1270.09	513.218
00:00:02.676	1644609578182	1264.857	506.099
00:00:02.693	1644609578199	1266.995	507.394
00:00:02.710	1644609578216	1268.513	502.796
00:00:02.726	1644609578232	1264.045	510.812
00:00:02.743	1644609578249	1267.682	503.529
00:00:02.760	1644609578266	1266.956	510.999
00:00:02.776	1644609578282	1265.503	506.575
00:00:02.793	1644609578299	1264.627	513.222
00:00:02.810	1644609578316	1262.281	507.216
00:00:02.826	1644609578332	1269.837	514.013
00:00:02.843	1644609578349	1270.532	505.299
00:00:02.860	1644609578366	1264.372	515.166
00:00:02.876	1644609578382	1267.134	507.507
00:00:02.893	1644609578399	1271.555	513.182
00:00:02.910	1644609578416	1269.758	501.027
00:00:02.926	1644609578432	1267.705	543.788
00:00:02.943	1644609578449	1269.729	529.304
00:00:02.960	1644609578466	0	0
00:00:02.976	1644609578482	2578.142	635.298
00:00:02.993	1644609578499	0	0
00:00:03.010	1644609578516	0	0
00:00:03.026	1644609578532	1260.681	574.677
00:00:03.043	1644609578549	1263.312	511.366
00:00:03.060	1644609578566	1269.108	560.27
00:00:03.076	1644609578582	1263.053	482.689
00:00:03.093	1644609578599	1260.735	555.316
00:00:03.110	1644609578616	1263.425	523.39
00:00:03.126	1644609578632	1266.81	523.1
00:00:03.143	1644609578649	1266.634	506.306
00:00:03.160	1644609578666	1261.065	512.72
00:00:03.176	1644609578682	1265.877	498.031
00:00:03.193	1644609578699	1265.479	505.251
00:00:03.210	1644609578716	1263.401	496.374
00:00:03.226	1644609578732	1260.403	506.448
00:00:03.243	1644609578749	1258.823	494.067
00:00:03.260	1644609578766	1264.495	509.265
00:00:03.276	1644609578782	1261.937	501.866
00:00:03.293	1644609578799	1263.157	512.042
00:00:03.310	1644609578816	1268.228	502.211
00:00:03.326	1644609578832	1267.709	510.037
00:00:03.343	1644609578849	1270.006	512.96
00:00:03.360	1644609578866	1267.92	509.489
00:00:03.376	1644609578882	1268.606	500.809
00:00:03.393	1644609578899	1273.77	509.591
00:00:03.410	1644609578916	1269.335	498.044
00:00:03.426	1644609578932	1273.84	509.671
00:00:03.443	1644609578949	1277.68	496.092
00:00:03.460	1644609578966	1275.298	509.023
00:00:03.476	1644609578982	1275.215	502.026
00:00:03.493	1644609578999	1275.658	509.668
00:00:03.510	1644609579016	1275.727	495.375
00:00:03.526	1644609579032	1273.823	506.667
00:00:03.543	1644609579049	1277.07	496.175
00:00:03.560	1644609579066	1277.495	507.871
00:00:03.576	1644609579082	1274.835	493.572
00:00:03.593	1644609579099	1268.613	513.457
00:00:03.610	1644609579116	1267.833	501.201
00:00:03.626	1644609579132	1268.716	510.027
00:00:03.643	1644609579149	1271.302	501.715
00:00:03.660	1644609579166	1270.546	511.794
00:00:03.676	1644609579182	1273.074	501.634
00:00:03.693	1644609579199	1269.88	516.657
00:00:03.710	1644609579216	1270.39	507.562
00:00:03.726	1644609579232	1269.081	517.101
00:00:03.743	1644609579249	1270.442	504.665
00:00:03.760	1644609579266	1271.235	518.701
00:00:03.776	1644609579282	1271.414	508.321
00:00:03.793	1644609579299	1269.479	518.162
00:00:03.810	1644609579316	1270.533	513.421
00:00:03.826	1644609579332	1269.353	523.255
00:00:03.843	1644609579349	1271.194	512.663
00:00:03.860	1644609579366	1269.486	522.882
00:00:03.876	1644609579382	1272.025	526.41
00:00:03.893	1644609579399	1270.136	522.908
00:00:03.910	1644609579416	1269.668	527.627
00:00:03.926	1644609579432	1269.897	535.32
00:00:03.943	1644609579449	1268.887	526.108
00:00:03.960	1644609579466	1270.524	536.368
00:00:03.976	1644609579482	1271.399	527.729
00:00:03.993	1644609579499	1273.457	535.411
00:00:04.010	1644609579516	1266.05	514.537
00:00:04.026	1644609579532	1270.005	542.768
00:00:04.043	1644609579549	1268.443	544.564
00:00:04.060	1644609579566	1269.692	553.591
00:00:04.076	1644609579582	1271.712	543.899
00:00:04.093	1644609579599	1270.006	552.714
00:00:04.110	1644609579616	1272.48	541.733
00:00:04.126	1644609579632	1273.413	551.347
00:00:04.143	1644609579649	1274.495	541.559
00:00:04.160	1644609579666	1277.725	536.965
00:00:04.176	1644609579682	1277.663	539.148
00:00:04.193	1644609579699	1279.133	548.889
00:00:04.210	1644609579716	1281.854	538.827
00:00:04.226	1644609579732	1281.218	547.898
00:00:04.243	1644609579749	1280.902	538.395
00:00:04.260	1644609579766	1279.561	548.379
00:00:04.276	1644609579782	1281.448	536.821
00:00:04.293	1644609579799	1280.153	544.291
00:00:04.310	1644609579816	1282.283	535.014
00:00:04.326	1644609579832	1282.22	542.125
00:00:04.343	1644609579849	1283.76	534.586
00:00:04.360	1644609579866	1281.452	543.044
00:00:04.376	1644609579882	1284.341	532.124
00:00:04.393	1644609579899	1284.38	539.378
00:00:04.410	1644609579916	1286.373	528.883
00:00:04.426	1644609579932	1285.723	536.408
00:00:04.443	1644609579949	1287.739	527.723
00:00:04.460	1644609579966	1287.111	535.153
00:00:04.476	1644609579982	1288.35	526.538
00:00:04.493	1644609579999	1288.642	533.938
00:00:04.510	1644609580016	1289.706	526.5
00:00:04.526	1644609580032	1291.033	536.362
00:00:04.543	1644609580049	1291.727	526.271
00:00:04.560	1644609580066	1291.81	535.429
00:00:04.576	1644609580082	1291.741	525.592
00:00:04.593	1644609580099	1292.027	534.794
00:00:04.610	1644609580116	1291.342	525.615
00:00:04.626	1644609580132	1293.376	535.824
00:00:04.643	1644609580149	1290.885	515.087
00:00:04.660	1644609580166	1293.011	535.243
00:00:04.676	1644609580182	1291.6	525.841
00:00:04.693	1644609580199	1293.183	535.678
00:00:04.710	1644609580216	1292.65	527.315
00:00:04.726	1644609580232	1293.802	538.238
00:00:04.743	1644609580249	1290.516	526.351
00:00:04.760	1644609580266	1293.884	537.716
00:00:04.776	1644609580282	1292.176	526.917
00:00:04.793	1644609580299	1290.493	528.777
00:00:04.810	1644609580316	1292.142	526.697
00:00:04.826	1644609580332	1292.033	536.573
00:00:04.843	1644609580349	1293.176	527.13
00:00:04.860	1644609580366	1289.763	528.82
00:00:04.876	1644609580382	1293.58	526.291
00:00:04.893	1644609580399	1293.669	536.88
00:00:04.910	1644609580416	1292.787	525.135
00:00:04.926	1644609580432	1293.263	535.338
00:00:04.943	1644609580449	1291.676	524.649
00:00:04.960	1644609580466	1293.571	533.838
00:00:04.976	1644609580482	1288.886	514.24
00:00:04.993	1644609580499	1293.577	532.385
00:00:05.010	1644609580516	1292.769	513.296
00:00:05.026	1644609580532	1293.618	529.288
00:00:05.043	1644609580549	1292.827	522.256
00:00:05.060	1644609580566	1292.991	527.827
00:00:05.076	1644609580582	1291.706	520.228
00:00:05.093	1644609580599	1291.191	526.145
00:00:05.110	1644609580616	1293.119	519.177
00:00:05.126	1644609580632	1292.124	525.203
00:00:05.143	1644609580649	1291.693	516.086
00:00:05.160	1644609580666	1290.711	524.479
00:00:05.176	1644609580682	1290.7	512.404
00:00:05.193	1644609580699	1295.812	518.163
00:00:05.210	1644609580716	1303.854	502.634
00:00:05.226	1644609580732	1303.243	509.456
00:00:05.243	1644609580749	1304.517	500.658
00:00:05.260	1644609580766	1303.23	507.786
00:00:05.276	1644609580782	1303.462	501.907
00:00:05.293	1644609580799	1301.943	508.819
00:00:05.310	1644609580816	1302.107	500.861
00:00:05.326	1644609580832	1303.577	510.127
00:00:05.343	1644609580849	1302.492	500.433
00:00:05.360	1644609580866	1302.31	508.768
00:00:05.376	1644609580882	1301.601	499.665
00:00:05.393	1644609580899	1301.367	508.089
00:00:05.410	1644609580916	1301.566	500.335
00:00:05.426	1644609580932	1300.303	508.328
00:00:05.443	1644609580949	1299.718	500.908
00:00:05.460	1644609580966	1299.577	507.966
00:00:05.476	1644609580982	1296.407	489.142
00:00:05.493	1644609580999	1297.786	498.169
00:00:05.510	1644609581016	1295.322	490.062
00:00:05.526	1644609581032	1298.187	509.387
00:00:05.543	1644609581049	1294.673	488.916
00:00:05.560	1644609581066	1298.732	507.695
00:00:05.576	1644609581082	1294.969	490.245
00:00:05.593	1644609581099	1290.081	498.509
