rec_time	UTC	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:00.016	1644614979179	1145.066	-684.137
00:00:00.026	1644614979189		
00:00:00.032	1644614979195	1146.047	-686.445
00:00:00.049	1644614979212	1149.137	-688.803
00:00:00.059	1644614979222		
00:00:00.066	1644614979229	1144.994	-684.054
00:00:00.082	1644614979245	1149.244	-689.116
00:00:00.092	1644614979255		
00:00:00.099	1644614979262	1149.594	-685.83
00:00:00.116	1644614979279	1152.22	-687.59
00:00:00.126	1644614979289		
00:00:00.132	1644614979295	1134.271	-703.034
00:00:00.149	1644614979312	1045.559	-788.129
00:00:00.159	1644614979322		
00:00:00.166	1644614979329	883.517	-951.186
00:00:00.182	1644614979345	746.144	-1108.901
00:00:00.192	1644614979355		
00:00:00.199	1644614979362	661.688	-1148.062
00:00:00.216	1644614979379	662.025	-1174.121
00:00:00.226	1644614979389		
00:00:00.232	1644614979395	675.997	-1152.552
00:00:00.249	1644614979412	691.382	-1120.623
00:00:00.259	1644614979422		
00:00:00.266	1644614979429	705.948	-1144.608
00:00:00.282	1644614979445	716.317	-1101.037
00:00:00.292	1644614979455		
00:00:00.299	1644614979462	731.782	-1132.489
00:00:00.316	1644614979479	737.622	-1089.521
00:00:00.326	1644614979489		
00:00:00.332	1644614979495	749.083	-1095.744
00:00:00.349	1644614979512	760.512	-1082.079
00:00:00.359	1644614979522		
00:00:00.366	1644614979529	769.567	-1108.789
00:00:00.382	1644614979545	780.774	-1126.209
00:00:00.392	1644614979555		
00:00:00.399	1644614979562	794.434	-1120.106
00:00:00.416	1644614979579	799.306	-1122.316
00:00:00.426	1644614979589		
00:00:00.432	1644614979595	814.125	-1154.609
00:00:00.449	1644614979612	757.484	-930.866
00:00:00.459	1644614979622		
00:00:00.466	1644614979629	0	0
00:00:00.482	1644614979645	0	0
00:00:00.492	1644614979655		
00:00:00.499	1644614979662	0	0
00:00:00.516	1644614979679	0	0
00:00:00.526	1644614979689		
00:00:00.532	1644614979695	-1778.742	-1394.995
00:00:00.549	1644614979712	0	0
00:00:00.559	1644614979722		
00:00:00.566	1644614979729	-74.661	-467.03
00:00:00.582	1644614979745	480.171	-152.849
00:00:00.592	1644614979755		
00:00:00.599	1644614979762	478.38	-190.092
00:00:00.616	1644614979779	529.872	-566.387
00:00:00.626	1644614979789		
00:00:00.632	1644614979795	540.568	-618.206
00:00:00.649	1644614979812	557.048	-707.303
00:00:00.659	1644614979822		
00:00:00.666	1644614979829	574.599	-688.249
00:00:00.682	1644614979845	588.719	-682.651
00:00:00.692	1644614979855		
00:00:00.699	1644614979862	596.513	-676.691
00:00:00.716	1644614979879	605.025	-657.851
00:00:00.726	1644614979889		
00:00:00.732	1644614979895	612.066	-635.633
00:00:00.749	1644614979912	619.339	-626.185
00:00:00.759	1644614979922		
00:00:00.766	1644614979929	624.55	-597.684
00:00:00.782	1644614979945	629.962	-574.339
00:00:00.792	1644614979955		
00:00:00.799	1644614979962	636.97	-547.302
00:00:00.816	1644614979979	646.716	-542.665
00:00:00.826	1644614979989		
00:00:00.832	1644614979995	651.428	-514.77
00:00:00.849	1644614980012	659.519	-512.301
00:00:00.859	1644614980022		
00:00:00.866	1644614980029	658.87	-495.883
00:00:00.882	1644614980045	664.07	-482.936
00:00:00.892	1644614980055		
00:00:00.899	1644614980062	664.774	-456.488
00:00:00.916	1644614980079	672.015	-457.142
00:00:00.926	1644614980089		
00:00:00.932	1644614980095	670.434	-435.117
00:00:00.949	1644614980112	671.618	-430.228
00:00:00.959	1644614980122		
00:00:00.966	1644614980129	670.628	-414.218
00:00:00.982	1644614980145	670.013	-408.804
00:00:00.992	1644614980155		
00:00:00.999	1644614980162	668.983	-406.099
00:00:01.016	1644614980179	664.255	-395.534
00:00:01.026	1644614980189		
00:00:01.032	1644614980195	697.45	-347.344
00:00:01.049	1644614980212	814.119	-132.857
00:00:01.059	1644614980222		
00:00:01.066	1644614980229	886.286	-15.772
00:00:01.082	1644614980245	898.476	25.722
00:00:01.092	1644614980255		
00:00:01.099	1644614980262	895.489	25.612
00:00:01.116	1644614980279	895.303	8.96
00:00:01.126	1644614980289		
00:00:01.132	1644614980295	889.841	9.21
00:00:01.149	1644614980312	891.207	2.168
00:00:01.159	1644614980322		
00:00:01.166	1644614980329	881.301	-9.745
00:00:01.182	1644614980345	884.874	-23.977
00:00:01.192	1644614980355		
00:00:01.199	1644614980362	881.054	-29.93
00:00:01.216	1644614980379	879.394	-29.939
00:00:01.226	1644614980389		
00:00:01.232	1644614980395	879.778	-42.283
00:00:01.249	1644614980412	877.947	-49.687
00:00:01.259	1644614980422		
00:00:01.266	1644614980429	881.96	-63.6
00:00:01.282	1644614980445	885.19	-75.329
00:00:01.292	1644614980455		
00:00:01.299	1644614980462	880.277	-85.021
00:00:01.316	1644614980479	888.444	-89.937
00:00:01.326	1644614980489		
00:00:01.332	1644614980495	884.496	-108.887
00:00:01.349	1644614980512	877.381	-122.774
00:00:01.359	1644614980522		
00:00:01.366	1644614980529	879.772	-121.983
00:00:01.382	1644614980545	871.44	-139.582
00:00:01.392	1644614980555		
00:00:01.399	1644614980562	856.694	-155.845
00:00:01.416	1644614980579	826.419	-217.855
00:00:01.426	1644614980589		
00:00:01.432	1644614980595	684.047	-487.671
00:00:01.449	1644614980612	524.105	-858.49
00:00:01.459	1644614980622		
00:00:01.466	1644614980629	451.406	-1133.905
00:00:01.482	1644614980645	437.188	-1226.48
00:00:01.492	1644614980655		
00:00:01.499	1644614980662	441.952	-1198.043
00:00:01.516	1644614980679	443.112	-1186
