rec_time	UTC	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:01.161	1644613608653	640.016	665.927
00:00:01.169	1644613608661		
00:00:01.177	1644613608669	643.607	665.26
00:00:01.178	1644613608670		
00:00:01.185	1644613608677		
00:00:01.194	1644613608686	644.199	667.345
00:00:01.202	1644613608694		
00:00:01.211	1644613608703	643.835	666.52
00:00:01.212	1644613608704		
00:00:01.219	1644613608711		
00:00:01.227	1644613608719	642.941	668.184
00:00:01.235	1644613608727		
00:00:01.244	1644613608736	661.435	659.119
00:00:01.245	1644613608737		
00:00:01.252	1644613608744		
00:00:01.261	1644613608753	736.264	630.273
00:00:01.269	1644613608761		
00:00:01.277	1644613608769	782.868	589.973
00:00:01.278	1644613608770		
00:00:01.285	1644613608777		
00:00:01.294	1644613608786	782.603	581.697
00:00:01.302	1644613608794		
00:00:01.311	1644613608803	776.592	580.475
00:00:01.312	1644613608804		
00:00:01.319	1644613608811		
00:00:01.327	1644613608819	775.799	582.102
00:00:01.335	1644613608827		
00:00:01.344	1644613608836	775.471	583.272
00:00:01.345	1644613608837		
00:00:01.352	1644613608844		
00:00:01.361	1644613608853	776.725	584.034
00:00:01.369	1644613608861		
00:00:01.377	1644613608869	775.951	589.357
00:00:01.378	1644613608870		
00:00:01.385	1644613608877		
00:00:01.394	1644613608886	783.39	592.493
00:00:01.402	1644613608894		
00:00:01.411	1644613608903	778.788	596.515
00:00:01.412	1644613608904		
00:00:01.419	1644613608911		
00:00:01.427	1644613608919	776.364	595.895
00:00:01.435	1644613608927		
00:00:01.444	1644613608936	776.92	602.252
00:00:01.445	1644613608937		
00:00:01.452	1644613608944		
00:00:01.461	1644613608953	777.782	592.899
00:00:01.469	1644613608961		
00:00:01.477	1644613608969	774.258	606.09
00:00:01.478	1644613608970		
00:00:01.485	1644613608977		
00:00:01.494	1644613608986	771.354	610.763
00:00:01.502	1644613608994		
00:00:01.511	1644613609003	768.791	607.6
00:00:01.512	1644613609004		
00:00:01.519	1644613609011		
00:00:01.527	1644613609019	768.087	611.726
00:00:01.535	1644613609027		
00:00:01.544	1644613609036	767.509	614.98
00:00:01.545	1644613609037		
00:00:01.552	1644613609044		
00:00:01.561	1644613609053	768.935	620.525
00:00:01.569	1644613609061		
00:00:01.577	1644613609069	765.088	620.428
00:00:01.578	1644613609070		
00:00:01.585	1644613609077		
00:00:01.594	1644613609086	764.937	621.961
00:00:01.602	1644613609094		
00:00:01.611	1644613609103	763.169	621.987
00:00:01.612	1644613609104		
00:00:01.619	1644613609111		
00:00:01.627	1644613609119	754.765	627.462
00:00:01.635	1644613609127		
00:00:01.644	1644613609136	695.627	645.975
00:00:01.645	1644613609137		
00:00:01.652	1644613609144		
00:00:01.661	1644613609153	639.623	654.808
00:00:01.669	1644613609161		
00:00:01.677	1644613609169	634.433	653.786
00:00:01.678	1644613609170		
00:00:01.685	1644613609177		
00:00:01.694	1644613609186	634.117	655.07
00:00:01.702	1644613609194		
00:00:01.711	1644613609203	634.629	654.327
00:00:01.712	1644613609204		
00:00:01.719	1644613609211		
00:00:01.727	1644613609219	635.941	656.879
00:00:01.735	1644613609227		
00:00:01.744	1644613609236	639.573	652.685
00:00:01.745	1644613609237		
00:00:01.752	1644613609244		
00:00:01.761	1644613609253	639.543	654.565
00:00:01.769	1644613609261		
00:00:01.777	1644613609269	636.71	649.162
00:00:01.778	1644613609270		
00:00:01.785	1644613609277		
00:00:01.794	1644613609286	637.109	649.884
00:00:01.802	1644613609294		
00:00:01.811	1644613609303	641.24	652.231
00:00:01.812	1644613609304		
00:00:01.819	1644613609311		
00:00:01.827	1644613609319	642.025	652.108
00:00:01.835	1644613609327		
00:00:01.844	1644613609336	642.22	647.718
00:00:01.845	1644613609337		
00:00:01.852	1644613609344		
00:00:01.861	1644613609353	641.747	651.34
00:00:01.869	1644613609361		
00:00:01.877	1644613609369	643.667	652.905
00:00:01.878	1644613609370		
00:00:01.885	1644613609377		
00:00:01.894	1644613609386	642.269	649.862
00:00:01.902	1644613609394		
00:00:01.911	1644613609403	640.773	651.273
00:00:01.912	1644613609404		
00:00:01.919	1644613609411		
00:00:01.927	1644613609419	639.274	642.087
00:00:01.935	1644613609427		
00:00:01.944	1644613609436	642.581	651.984
00:00:01.945	1644613609437		
00:00:01.952	1644613609444		
00:00:01.961	1644613609453	663.725	652.215
00:00:01.969	1644613609461		
00:00:01.977	1644613609469	693.42	654.112
00:00:01.978	1644613609470		
00:00:01.985	1644613609477		
00:00:01.994	1644613609486	697.824	655.202
00:00:02.002	1644613609494		
00:00:02.011	1644613609503	698.14	655.247
00:00:02.012	1644613609504		
00:00:02.019	1644613609511		
00:00:02.027	1644613609519	697.504	657.631
00:00:02.035	1644613609527		
00:00:02.044	1644613609536	696.134	658.045
00:00:02.045	1644613609537		
00:00:02.052	1644613609544		
00:00:02.061	1644613609553	698.141	656.078
00:00:02.069	1644613609561		
00:00:02.077	1644613609569	700.595	658.543
00:00:02.078	1644613609570		
00:00:02.085	1644613609577		
00:00:02.094	1644613609586	698.455	658.4
00:00:02.102	1644613609594		
00:00:02.111	1644613609603	701.242	655.992
00:00:02.112	1644613609604		
00:00:02.119	1644613609611		
00:00:02.127	1644613609619	701.869	657.653
00:00:02.135	1644613609627		
00:00:02.144	1644613609636	699.678	654.827
